	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV15073	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Ornithobacterium	NA
ASV15074	Archaea	NA	NA	NA	NA	NA	NA
ASV15075	Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales	Lenti-02	NA	NA
ASV15076	Bacteria	NA	NA	NA	NA	NA	NA
ASV15078	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NA	NA	NA
ASV15079	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV15080	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15081	Bacteria	Planctomycetota	BD7-11	NA	NA	NA	NA
ASV15082	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	NA	NA
ASV15083	Bacteria	NA	NA	NA	NA	NA	NA
ASV15084	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV15085	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV15086	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV15087	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	NA	NA
ASV15088	Archaea	NA	NA	NA	NA	NA	NA
ASV15089	Bacteria	NA	NA	NA	NA	NA	NA
ASV15090	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV15091	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	NA	NA	NA
ASV15092	Bacteria	Patescibacteria	NA	NA	NA	NA	NA
ASV15093	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV15094	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Temperatibacteraceae	Temperatibacter	NA
ASV15095	Bacteria	NA	NA	NA	NA	NA	NA
ASV15096	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV15097	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV15098	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV15099	Bacteria	NA	NA	NA	NA	NA	NA
ASV15100	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV15101	Bacteria	Margulisbacteria	NA	NA	NA	NA	NA
ASV15102	Archaea	NA	NA	NA	NA	NA	NA
ASV15103	Bacteria	NA	NA	NA	NA	NA	NA
ASV15104	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA	NA
ASV15105	Bacteria	NA	NA	NA	NA	NA	NA
ASV15106	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV15107	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
